store_id,period,year,month,date,productivity,treated,treatment_period,periods_since_treatment,store_size,location_type
1,1,2019,1,2019-01-01,138.8522650358699,0,19,NA,Medium,Suburban
1,2,2019,2,2019-02-01,130.84164770846425,0,19,NA,Medium,Suburban
1,3,2019,3,2019-03-01,149.4055672073311,0,19,NA,Medium,Suburban
1,4,2019,4,2019-04-01,131.18845257324622,0,19,NA,Medium,Suburban
1,5,2019,5,2019-05-01,142.10133367148066,0,19,NA,Medium,Suburban
1,6,2019,6,2019-06-01,140.29088245378136,0,19,NA,Medium,Suburban
1,7,2019,7,2019-07-01,142.57563294929085,0,19,NA,Medium,Suburban
1,8,2019,8,2019-08-01,140.1679053640765,0,19,NA,Medium,Suburban
1,9,2019,9,2019-09-01,127.46342502465336,0,19,NA,Medium,Suburban
1,10,2019,10,2019-10-01,144.21753830551688,0,19,NA,Medium,Suburban
1,11,2019,11,2019-11-01,148.92505081045724,0,19,NA,Medium,Suburban
1,12,2019,12,2019-12-01,135.42470791945814,0,19,NA,Medium,Suburban
1,13,2020,1,2020-01-01,138.80361172912995,0,19,NA,Medium,Suburban
1,14,2020,2,2020-02-01,147.6078043265781,0,19,NA,Medium,Suburban
1,15,2020,3,2020-03-01,143.234771000308,0,19,NA,Medium,Suburban
1,16,2020,4,2020-04-01,141.04744138494019,0,19,NA,Medium,Suburban
1,17,2020,5,2020-05-01,140.68599151527508,0,19,NA,Medium,Suburban
1,18,2020,6,2020-06-01,136.1560192323449,0,19,NA,Medium,Suburban
1,19,2020,7,2020-07-01,151.13791930189356,1,19,0,Medium,Suburban
1,20,2020,8,2020-08-01,132.89747860504139,1,19,1,Medium,Suburban
1,21,2020,9,2020-09-01,132.5800629028349,1,19,2,Medium,Suburban
1,22,2020,10,2020-10-01,142.1169036437646,1,19,3,Medium,Suburban
1,23,2020,11,2020-11-01,139.68552157843226,1,19,4,Medium,Suburban
1,24,2020,12,2020-12-01,148.02507858829247,1,19,5,Medium,Suburban
1,25,2021,1,2021-01-01,128.6485594432468,1,19,6,Medium,Suburban
1,26,2021,2,2021-02-01,150.6022080481075,1,19,7,Medium,Suburban
1,27,2021,3,2021-03-01,149.03211176117057,1,19,8,Medium,Suburban
1,28,2021,4,2021-04-01,142.39530467709196,1,19,9,Medium,Suburban
1,29,2021,5,2021-05-01,158.7805094850438,1,19,10,Medium,Suburban
1,30,2021,6,2021-06-01,146.11854743039228,1,19,11,Medium,Suburban
1,31,2021,7,2021-07-01,152.07475553341345,1,19,12,Medium,Suburban
1,32,2021,8,2021-08-01,153.51910378844744,1,19,13,Medium,Suburban
1,33,2021,9,2021-09-01,160.66599214043984,1,19,14,Medium,Suburban
1,34,2021,10,2021-10-01,178.22007176972892,1,19,15,Medium,Suburban
1,35,2021,11,2021-11-01,166.4656753435405,1,19,16,Medium,Suburban
1,36,2021,12,2021-12-01,169.9976906083424,1,19,17,Medium,Suburban
1,37,2022,1,2022-01-01,151.70395062117174,1,19,18,Medium,Suburban
1,38,2022,2,2022-02-01,165.92232839492885,1,19,19,Medium,Suburban
1,39,2022,3,2022-03-01,163.3734804488764,1,19,20,Medium,Suburban
1,40,2022,4,2022-04-01,164.7262897034574,1,19,21,Medium,Suburban
1,41,2022,5,2022-05-01,165.8812015977825,1,19,22,Medium,Suburban
1,42,2022,6,2022-06-01,172.59111690101864,1,19,23,Medium,Suburban
1,43,2022,7,2022-07-01,158.05772639721053,1,19,24,Medium,Suburban
1,44,2022,8,2022-08-01,163.59548042555772,1,19,25,Medium,Suburban
1,45,2022,9,2022-09-01,179.1352084011843,1,19,26,Medium,Suburban
1,46,2022,10,2022-10-01,180.7346856601037,1,19,27,Medium,Suburban
1,47,2022,11,2022-11-01,165.07950859855987,1,19,28,Medium,Suburban
1,48,2022,12,2022-12-01,173.47983090089105,1,19,29,Medium,Suburban
2,1,2019,1,2019-01-01,121.82384421501756,0,NA,NA,Small,Rural
2,2,2019,2,2019-02-01,129.65596164400014,0,NA,NA,Small,Rural
2,3,2019,3,2019-03-01,115.35997862833374,0,NA,NA,Small,Rural
2,4,2019,4,2019-04-01,97.04353522328688,0,NA,NA,Small,Rural
2,5,2019,5,2019-05-01,135.42197675528084,0,NA,NA,Small,Rural
2,6,2019,6,2019-06-01,121.50414689964234,0,NA,NA,Small,Rural
2,7,2019,7,2019-07-01,112.67376617574389,0,NA,NA,Small,Rural
2,8,2019,8,2019-08-01,119.6900599147118,0,NA,NA,Small,Rural
2,9,2019,9,2019-09-01,120.7772127612492,0,NA,NA,Small,Rural
2,10,2019,10,2019-10-01,124.59451493043699,0,NA,NA,Small,Rural
2,11,2019,11,2019-11-01,112.04109961957788,0,NA,NA,Small,Rural
2,12,2019,12,2019-12-01,135.8398137810999,0,NA,NA,Small,Rural
2,13,2020,1,2020-01-01,117.47200897977203,0,NA,NA,Small,Rural
2,14,2020,2,2020-02-01,128.40416455913007,0,NA,NA,Small,Rural
2,15,2020,3,2020-03-01,112.99361477693537,0,NA,NA,Small,Rural
2,16,2020,4,2020-04-01,129.50755542594794,0,NA,NA,Small,Rural
2,17,2020,5,2020-05-01,119.54983333203272,0,NA,NA,Small,Rural
2,18,2020,6,2020-06-01,127.76822657205851,0,NA,NA,Small,Rural
2,19,2020,7,2020-07-01,116.77212172736505,0,NA,NA,Small,Rural
2,20,2020,8,2020-08-01,128.59175312977072,0,NA,NA,Small,Rural
2,21,2020,9,2020-09-01,119.89072657087817,0,NA,NA,Small,Rural
2,22,2020,10,2020-10-01,139.4407989920866,0,NA,NA,Small,Rural
2,23,2020,11,2020-11-01,138.5217066057369,0,NA,NA,Small,Rural
2,24,2020,12,2020-12-01,145.0375707433701,0,NA,NA,Small,Rural
2,25,2021,1,2021-01-01,137.53210631018908,0,NA,NA,Small,Rural
2,26,2021,2,2021-02-01,133.19627201102782,0,NA,NA,Small,Rural
2,27,2021,3,2021-03-01,117.93062447168852,0,NA,NA,Small,Rural
2,28,2021,4,2021-04-01,123.34497583723338,0,NA,NA,Small,Rural
2,29,2021,5,2021-05-01,125.37797027022543,0,NA,NA,Small,Rural
2,30,2021,6,2021-06-01,128.22692332580198,0,NA,NA,Small,Rural
2,31,2021,7,2021-07-01,119.00092114553848,0,NA,NA,Small,Rural
2,32,2021,8,2021-08-01,120.24018116573254,0,NA,NA,Small,Rural
2,33,2021,9,2021-09-01,116.48921979321746,0,NA,NA,Small,Rural
2,34,2021,10,2021-10-01,129.4582834787827,0,NA,NA,Small,Rural
2,35,2021,11,2021-11-01,127.78206764813116,0,NA,NA,Small,Rural
2,36,2021,12,2021-12-01,128.05437648189596,0,NA,NA,Small,Rural
2,37,2022,1,2022-01-01,125.43091795288547,0,NA,NA,Small,Rural
2,38,2022,2,2022-02-01,125.02374564014,0,NA,NA,Small,Rural
2,39,2022,3,2022-03-01,140.64426779773333,0,NA,NA,Small,Rural
2,40,2022,4,2022-04-01,111.40732743482968,0,NA,NA,Small,Rural
2,41,2022,5,2022-05-01,118.66674811265548,0,NA,NA,Small,Rural
2,42,2022,6,2022-06-01,137.264138602547,0,NA,NA,Small,Rural
2,43,2022,7,2022-07-01,100.43744247211075,0,NA,NA,Small,Rural
2,44,2022,8,2022-08-01,124.82254666579198,0,NA,NA,Small,Rural
2,45,2022,9,2022-09-01,127.08136009813595,0,NA,NA,Small,Rural
2,46,2022,10,2022-10-01,114.77284644017953,0,NA,NA,Small,Rural
2,47,2022,11,2022-11-01,104.00615858134194,0,NA,NA,Small,Rural
2,48,2022,12,2022-12-01,127.78772802658199,0,NA,NA,Small,Rural
3,1,2019,1,2019-01-01,103.11352167444878,0,15,NA,Large,Urban
3,2,2019,2,2019-02-01,89.80183234499229,0,15,NA,Large,Urban
3,3,2019,3,2019-03-01,101.42659131589045,0,15,NA,Large,Urban
3,4,2019,4,2019-04-01,108.54595829298232,0,15,NA,Large,Urban
3,5,2019,5,2019-05-01,99.98519844137824,0,15,NA,Large,Urban
3,6,2019,6,2019-06-01,93.20066875156857,0,15,NA,Large,Urban
3,7,2019,7,2019-07-01,97.85761056551254,0,15,NA,Large,Urban
3,8,2019,8,2019-08-01,110.5390374690172,0,15,NA,Large,Urban
3,9,2019,9,2019-09-01,103.49712742302805,0,15,NA,Large,Urban
3,10,2019,10,2019-10-01,102.93399020949047,0,15,NA,Large,Urban
3,11,2019,11,2019-11-01,102.7243839544999,0,15,NA,Large,Urban
3,12,2019,12,2019-12-01,106.43832312386688,0,15,NA,Large,Urban
3,13,2020,1,2020-01-01,91.96684867393,0,15,NA,Large,Urban
